Rank,Building,City,Country/Region,Height (m),Height (ft),Floors,Built
1,Burj Khalifa ,Dubai, UAE,828 m,"2,717 ft",163,2010
2,Shanghai Tower,Shanghai, China,632 m,"2,073 ft",128,2015
3,Abraj Al-Bait Clock Tower,Mecca, Saudi Arabia,601 m,"1,971 ft",120,2012
4,Ping An Finance Centre,Shenzhen, China,599 m,"1,965 ft",115,2016
5,Goldin Finance 117,Tianjin, China,596.5 m,"1,957 ft",117,2016
6,One World Trade Center,New York City, United States,541.3 m,"1,776 ft",104,2014
7,CTF Finance Centre,Guangzhou, China,530 m,"1,740 ft",111,2016
8,Taipei 101 ,Taipei, Taiwan,509 m,"1,670 ft",101,2004
9,Shanghai World Financial Center,Shanghai, China,492 m,"1,614 ft",101,2008
10,International Commerce Centre,Hong Kong, China,484 m,"1,588 ft",118,2010
11=,Petronas Tower 1 ,Kuala Lumpur, Malaysia,452 m,"1,483 ft",88,1998
11=,Petronas Tower 2 ,Kuala Lumpur, Malaysia,452 m,"1,483 ft",88,1998
13,Zifeng Tower,Nanjing, China,450 m,"1,476 ft",89,2010
14,Willis Tower  (formerly the Sears Tower),Chicago, United States,442 m ,"1,451 ft ",107,1974
15,KK100,Shenzhen, China,442 m,"1,449 ft",100,2011
16,Guangzhou International Finance Center,Guangzhou, China,440 m,"1,440 ft",103,2010
17,Wuhan Center,Wuhan, China,438 m,"1,437 ft",88,2016
18,Marina 101,Dubai, UAE,426.5 m,"1,399 ft",101,2015
19,432 Park Avenue,New York City, United States,426 m,"1,397 ft",88,2015
20,Trump International Hotel and Tower,Chicago, United States,423 m,"1,389 ft",98,2009
21,Jin Mao Tower,Shanghai, China,420.5 m,"1,380 ft",88,1999
22,Princess Tower,Dubai, UAE,414 m,"1,358 ft",101,2012
23,Al Hamra Tower,Kuwait City, Kuwait,413 m,"1,354 ft",80,2011
24,Two International Finance Centre,Hong Kong, China,412 m,"1,352 ft",88,2003
25,23 Marina,Dubai, UAE,395 m,"1,296 ft",89,2012
26,CITIC Plaza,Guangzhou, China,391 m,"1,283 ft",80,1997
27,Capital Market Authority Headquarters,Riyadh, Saudi Arabia,385 m,1 263 ft,77,2015
28,Shun Hing Square,Shenzhen, China,384 m,"1,260 ft",69,1996
29,Eton Place Dalian Tower 1,Dalian, China,383 m,"1,257 ft",81,2015
30,Burj Mohammed bin Rashid,Abu Dhabi, UAE,381.2 m,"1,251 ft",88,2014
31,Empire State Building ,New York City, United States,381 m,"1,250 ft",102,1931
32,Elite Residence,Dubai, UAE,380.5 m,"1,248 ft",87,2012
33,Central Plaza,Hong Kong, China,374 m,"1,227 ft",78,1992
34,Federation Tower (East Tower),Moscow, Russia,374 m,"1,226 ft",95,2015
35,Dalian International Trade Center,Dalian, China,370.1nbsp;m,"1,214 ft",86,2016
36,Bank of China Tower,Hong Kong, China,367 m,"1,205 ft",70,1990
37,Bank of America Tower,New York City, United States,366 m,"1,200 ft",54,2009
38,Almas Tower,Dubai, UAE,363 m,"1,191 ft",68,2009
39=,JW Marriott Marquis Dubai Tower 1,Dubai, UAE,355 m,"1,166 ft",82,2012
39=,JW Marriott Marquis Dubai Tower 2,Dubai, UAE,355 m,"1,166 ft",82,2012
41,Emirates Office Tower,Dubai, UAE,354.6 m,"1,163 ft",54,2000
42,OKO Tower - South Tower,Moscow, Russia,354 m,"1,160 ft",85,2015
43,The Marina Torch,Dubai, UAE,352 m,"1,155 ft",86,2011
44,Forum 66 Tower 2,Shenyang, China,351 m,"1,150 ft",68,2015
45,The Pinnacle,Guangzhou, China,350.3 m,"1,149 ft",60,2012
46,Tuntex Sky Tower,Kaohsiung, Republic of China,348 m,"1,140 ft",85,1997
47,Aon Center,Chicago, United States,346.3 m,"1,136 ft",83,1973
48,The Center,Hong Kong, China,346 m,"1,135 ft",73,1998
49,John Hancock Center,Chicago, United States,344 m,"1,128 ft",100,1969
50=,ADNOC Headquarters,Abu Dhabi, UAE,342 m,"1,122 ft",76,2015
50=,Ahmed Abdul Rahim Al Attar Tower,Dubai, UAE,342 m,"1,122 ft",76,2015
52,The Wharf Times Square,Wuxi, China,339 m,"1,112 ft",68,2014
53,Chongqing World Financial Center,Chongqing, China,338.9 m,"1,112 ft",78,2014
54,Mercury City Tower,Moscow, Russia,338.8 m,"1,112 ft",75,2012
55,Tianjin Modern City Office Tower,Tianjin, China,338 m,"1,109 ft",65,2015
56,Tianjin World Financial Center,Tianjin, China,337 m,"1,105 ft",79,2010
55=,Shimao International Plaza,Shanghai, China,333 m,"1,094 ft",61,2005
55=,Rose Tower,Dubai, UAE,333 m,"1,093 ft",72,2007
57,Modern Media Center,Changzhou, China,332 m,"1,089 ft",57,2013
58,Minsheng Bank Building,Wuhan, China,331 m,"1,087 ft",68,2008
59=,China World Trade Center Tower 3,Beijing, China,330 m,"1,083 ft",74,2009
59=,Ryugyong Hotel,Pyongyang, North Korea,330 m,"1,083 ft",105,1992
61=,Hon Kwok City Center,Shenzhen, China,329 m,"1,081 ft",80,2015
61=,Keangnam Hanoi Landmark Tower,Hanoi, Vietnam,329 m,"1,078 ft",72,2011
63=,Al Yaqoub Tower,Dubai, UAE,328 m,"1,076 ft",69,2013
63=,Longxi International Hotel,Huaxi Village, China,328 m,"1,076 ft",72,2011
63=,Wuxi Suning Plaza 1,Wuxi, China,328 m,"1,076 ft",68,2014
66,The Index,Dubai, UAE,326 m,"1,070 ft",80,2010
67=,The Landmark,Abu Dhabi, UAE,324 m,"1,072 ft",72,2012
67=,Deji Plaza Phase 2,Nanjing, China,324 m,"1,072 ft",62,2013
69=,Yantai Shimao No.1 The Harbour,Yantai, China,323 m,"1,060 ft",59,2015
69=,Q1,Gold Coast, Australia,323 m,"1,058 ft",80,2005
71,Wenzhou World Trade Center,Wenzhou, China,322 m,"1,056 ft",68,2010
72,Burj Al Arab,Dubai, UAE,321 m,"1,053 ft",60,1999
73=,Nina Tower,Hong Kong, China,320 m,"1,051 ft",80,2007
73=,Sinar Mas Center 1,Shanghai, China,320 m,"1,048 ft",66,2016
75=,Chrysler Building ,New York City, United States,319 m,"1,046 ft",77,1930
75=,New York Times Building,New York City, United States,319 m,"1,046 ft",52,2007
75=,Global City Square,Guangzhou, China,319 m,"1,046 ft",67,2015
78=,HHHR Tower,Dubai, UAE,317 m,"1,042 ft",72,2010
78=,Bank of America Plaza,Atlanta, United States,317 m,"1,040 ft",55,1992
80,Chongqing IFS T1,Chongqing, China,316 m,"1,037 ft",65,2016
81,Nanjing International Youth Cultural Centre Tower 1,Nanjing, China,315 m,"1,032 ft",68,2015
82,Moi Center,Shenyang, China,311 m,"1,020 ft",75,2012
83=,U.S. Bank Tower,Los Angeles, United States,310 m,"1,018 ft",73,1989
83=,Menara Telekom,Kuala Lumpur, Malaysia,310 m,"1,017 ft",55,2001
83=,Ocean Heights,Dubai, UAE,310 m,"1,017 ft",82,2010
83=,Pearl River Tower,Guangzhou, China,310 m,"1,016 ft",71,2011
87,The Shard,London, United Kingdom,309.6 m,"1,016 ft",72,2012
88=,Fortune Center,Guangzhou, China,309 m,"1,015 ft",73,2015
88=,Jumeirah Emirates Towers Hotel,Dubai, UAE,309 m,"1,014 ft",56,2000
88=,Stalnaya Vershina,Moscow, Russia,309 m,"1,013 ft",72,2015
91,Burj Rafal,Riyadh, Saudi Arabia,308 m,"1,010 ft",68,2013
92=,Wanda Plaza 1,Kunming, China,307 m,"1,008 ft",70,2016
92=,Wanda Plaza 2,Kunming, China,307 m,"1,008 ft",70,2016
92=,Franklin Center,Chicago, United States,307 m,"1,007 ft",60,1989
92=,Cayan Tower,Dubai, UAE,306 m,"1,005 ft",76,2013
92=,One57,New York City, United States,306 m,"1,004 ft",75,2013
92=,East Pacific Center Tower A,Shenzhen, China,306 m,"1,004 ft",85,2012
92=,The Address Downtown Burj Khalifa,Dubai, UAE,306 m,"1,004 ft",63,2008
99=,JPMorgan Chase Tower,Houston, United States,305 m,"1,002 ft",75,1982
99=,Etihad Tower 2,Abu Dhabi, UAE,305 m,"1,002 ft",79,2011
99=,Northeast Asia Trade Tower,Incheon, South Korea,305 m,"1,001 ft",68,2010
102=,Baiyoke Tower II,Bangkok, Thailand,304 m,997 ft,85,1997
102=,Wuxi Maoye City - Marriott Hotel,Wuxi, China,304 m,997 ft,68,2014
104=,Two Prudential Plaza,Chicago, United States,303 m,995 ft,64,1990
104=,Diwang International Fortune Center,Liuzhou, China,303 m,994 ft,75,2015
104=,Chang Fu Jin Mao Tower,Shenzhen, China,303 m,994 ft,68,2016
104=,KAFD World Trade Center,Riyadh, Saudi Arabia,303 m,994 ft,67,2015
104=,Greenland Puli Center,Jinan, China,303 m,994 ft,60,2015
104=,Jiangxi Nanchang Greenland Central Plaza 1,Nanchang, China,303 m,994 ft,59,2015
104=,Jiangxi Nanchang Greenland Central Plaza 2,Nanchang, China,303 m,994 ft,59,2015
104=,Heung Kong Tower,Shenzhen, China,303 m,994 ft,61,2014
104=,Leatop Plaza,Guangzhou, China,303 m,993 ft,65,2011
113=,Wells Fargo Plaza,Houston, United States,302 m,992 ft,71,1983
113=,Kingdom Centre,Riyadh, Saudi Arabia,302 m,992 ft,41,2002
113=,Gate of the Orient,Suzhou, China,302 m,990 ft,68,2015
113=,Moscow Tower,Moscow, Russia,302 m,989 ft,76,2010
117,We've the Zenith Tower A,Busan, South Korea,301 m,987 ft,80,2011
118=,Gran Torre Santiago,Santiago, Chile,300 m,984 ft,62,2012
118=,Abeno Harukas,Osaka, Japan,300 m,984 ft,60,2014
118=,Arraya 2,Kuwait City, Kuwait,300 m,984 ft,60,2009
118=,Aspire Tower,Doha, Qatar,300 m,984 ft,36,2007
